 ;;LAPORAN PENJUALAN DETAIL;;;;;;PERIODE : 01/07/26 - 31/07/26;;;;
;;INSPIRASI MEDIA KREATIF;;;;;;;;;;
;;;;;;;;;;;;
;;JL. TUKAD BATANGHARI XI NO 2;;;;;;;;;;
;;0361-4783465;;;;;;;;;;
;;-;;;;;;;;;;
 ;;;;;;;;;;;;
No Transaksi;;Tanggal;;Dept.;Kode Pel.;Nama Pelanggan;;;Alamat;;;
 ;;;;;;;;;;;;
 ;;;;;;;;;;;;
JL-0011290-26;;01/07/2026;;;PL0018;TEGUH PS (OL);;;GUNUNG PUTRI  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;781-1(1);781-1 (20 KG);;;;;30;SAK;288.500;0;8.655.000;
2;781-2(1);781-2 (30 KG);;;;;40;BAL;405.000;0;16.200.000;
3;782-4;782-4 (30 KG);;;;;20;BAL;378.000;0;7.560.000;
4;EKO-2-1;EKO-2 (30 KG);;;;;10;BAL;189.500;0;1.895.000;
5;EKO-3-1;EKO-3 (30 KG);;;;;40;BAL;188.000;0;7.520.000;
6;EKO-4-1;EKO-4 (30 KG);;;;;20;BAL;188.000;0;3.760.000;
7;781(1);781 (30 KG);;;;;120;BAL;399.500;0;47.940.000;
;;;;;; ;;;;;;
;;;;;;;280;;;;93.530.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;93.530.000;;
 ;;;;;;;;;;;;
JL-0011291-26;;01/07/2026;;;PL0018;TEGUH PS (OL);;;GUNUNG PUTRI  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;000035-1;BR2 (50 KG);;;;;30;BAL;442.500;0;13.275.000;
2;0000472;PUYUH SP-22 (50 KG);;;;;50;BAL;380.000;0;19.000.000;
3;0000468;GD-21 (50 KG);;;;;120;BAL;380.000;0;45.600.000;
;;;;;; ;;;;;;
;;;;;;;200;;;;77.875.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;77.875.000;;
 ;;;;;;;;;;;;
JL-0011682-26;;07/07/2026;;;PL6857;BERKAH SETU MANDIRI;;;KP. SETU, TELAJUNG, CIKARANG BARAT, KAB. BEKASI BEKASI JAWA BARAT;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;RABBIT GUYOFEED;VITAL RABBIT CITRA FEED 25 KG;;;;;160;SAK;183.000;0;29.280.000;
;;;;;; ;;;;;;
;;;;;;;160;;;;29.280.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;29.280.000;;
 ;;;;;;;;;;;;
JL-0011717-26;;08/07/2026;;;PL6857;BERKAH SETU MANDIRI;;;KP. SETU, TELAJUNG, CIKARANG BARAT, KAB. BEKASI BEKASI JAWA BARAT;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;CAT CHOIZE KITTEN SALMON 20KG;CAT CHOIZE KITTEN SALMON 20KG;;;;;275;SAK;465.500;0;128.012.500;
;;;;;; ;;;;;;
;;;;;;;275;;;;128.012.500;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;128.012.500;;
 ;;;;;;;;;;;;
JL-0012022-26;;14/07/2026;;;PL0018;TEGUH PS (OL);;;GUNUNG PUTRI  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;000035-1;BR2 (50 KG);;;;;20;BAL;442.500;0;8.850.000;
2;0000462;BR21E (50 KG);;;;;40;BAL;420.000;0;16.800.000;
3;0000468;GD-21 (50 KG);;;;;130;BAL;380.000;0;49.400.000;
4;0000472;PUYUH SP-22 (50 KG);;;;;10;BAL;380.000;0;3.800.000;
;;;;;; ;;;;;;
;;;;;;;200;;;;78.850.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;78.850.000;;
 ;;;;;;;;;;;;
JL-0012134-26;;16/07/2026;;;PL6857;BERKAH SETU MANDIRI;;;KP. SETU, TELAJUNG, CIKARANG BARAT, KAB. BEKASI BEKASI JAWA BARAT;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;310CR-50K;310 CR (50 KG);;;;;180;BAL;237.500;0;42.750.000;
;;;;;; ;;;;;;
;;;;;;;180;;;;42.750.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;42.750.000;;
 ;;;;;;;;;;;;
JL-0012261-26;;18/07/2026;;;PL7422;PRATAMA JAYA;;;JL. GUDANG PADI RT.005/003, PASAR PADI, GIRIMAYA KOTA PANGKAL PINANG KEP. BANGKA BELITUNG PANGKAL PINANG BANGKA BELITUNG;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;202P;202 P;;;;;400;BAL;460.000;0;184.000.000;
;;;;;; ;;;;;;
;;;;;;;400;;;;184.000.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;184.000.000;;
 ;;;;;;;;;;;;
JL-0012454-26;;22/07/2026;;;PL0018;TEGUH PS (OL);;;GUNUNG PUTRI  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;781(1);781 (30 KG);;;;;100;BAL;384.500;0;38.450.000;
2;781-1(1);781-1 (20 KG);;;;;15;SAK;278.500;0;4.177.500;
3;781-2(1);781-2 (30 KG);;;;;60;BAL;390.000;0;23.400.000;
4;EKO-3-1;EKO-3 (30 KG);;;;;50;BAL;185.000;0;9.250.000;
5;EKO-4-1;EKO-4 (30 KG);;;;;20;BAL;185.000;0;3.700.000;
6;EKO-2-1;EKO-2 (30 KG);;;;;10;BAL;186.500;0;1.865.000;
7;782-4;782-4 (30 KG);;;;;20;BAL;366.000;0;7.320.000;
;;;;;; ;;;;;;
;;;;;;;275;;;;88.162.500;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;88.162.500;;
 ;;;;;;;;;;;;
JL-0012959-26;;31/07/2026;;;PL4272;JOHAN (TOKO MAJU BERSAMA) - RIAUKEP;;;JL. NUSANTARA KM.19 RT 001/004 KIJANG, KEL. SUNGAI LEKOP, RIAUKEP  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;0000462;BR21E (50 KG);;;;;50;BAL;428.500;0;21.425.000;
2;0000472;PUYUH SP-22 (50 KG);;;;;80;BAL;395.000;0;31.600.000;
3;0000468;GD-21 (50 KG);;;;;50;BAL;395.000;0;19.750.000;
;;;;;; ;;;;;;
;;;;;;;180;;;;72.775.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;72.775.000;;
 ;;;;;;;;;;;;
 ;;;;;;;;;;;;
;;;;;;TOTAL KESELURUHAN :;;;Jumlah Item :;2.150;;
;;;;;;;;;Sub Total :;795.235.000;;
;;;;;;;;;Potongan :;0;;
;;;;;;;;;Pajak :;0;;
;;;;;;;;;Biaya Lain :;0;;
;;;;;;;;;Total Akhir :;795.235.000;;
14/09/2026 08:56;;REPORT;;;;;;;;;;1/1
