 ;;LAPORAN PENJUALAN DETAIL;;;;;;PERIODE : 01/07/26 - 31/07/26;;;;
;;INSPIRASI MEDIA KREATIF;;;;;;;;;;
;;;;;;;;;;;;
;;JL. TUKAD BATANGHARI XI NO 2;;;;;;;;;;
;;0361-4783465;;;;;;;;;;
;;-;;;;;;;;;;
 ;;;;;;;;;;;;
No Transaksi;;Tanggal;;Dept.;Kode Pel.;Nama Pelanggan;;;Alamat;;;
 ;;;;;;;;;;;;
 ;;;;;;;;;;;;
JL-0011284-26;;01/07/2026;;;PL6216;SITI DHARWATI - PEKAYON;;;PEKAYON RT 002/008 KEL. PEKAYON, KEC. PASAR REBO JAKARTA TIMUR DKI JAKARTA;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;LIFE CAT 20 KG;LIFE CAT 20 KG;;;;;2;SAK;526.000;0;1.052.000;
2;MARKOTOPS CAT LITTER 25 L;PASIR MARKOTOPS 25 L;;;;;1;PCS;113.500;0;113.500;
;;;;;; ;;;;;;
;;;;;;;3;;;;1.165.500;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;1.165.500;;
 ;;;;;;;;;;;;
JL-0011292-26;;01/07/2026;;;PL6780;PENDY EPENDY;;;PERUM PURI HESTI INSANI BLOK B 10 NO.08 RT 017/015 MAMPIR CILENGSI BOGOR JAWA BARAT;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;MISTER PUSS SALMON 20KG;MISTER PUSS SALMON 20KG;;;;;1;SAK;383.000;0;383.000;
;;;;;; ;;;;;;
;;;;;;;1;;;;383.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;383.000;;
 ;;;;;;;;;;;;
JL-0011294-26;;01/07/2026;;;PL0002;TEGUH PS;;;GUNUNG PUTRI  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;MPKM10K;MISTER PUSS KITTEN MAMA 10KG;;;;;5;SAK;215.000;0;1.075.000;
;;;;;; ;;;;;;
;;;;;;;5;;;;1.075.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;1.075.000;;
 ;;;;;;;;;;;;
JL-0011303-26;;01/07/2026;;;PL4677;AHMED FAOUZI;;;JL MUJAHIDIN RT.011/002 RAMBUTAN CIRACAS( SAMPING SEKOLAHAN SMK WIJAYA KUSUMA )  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;PASIR MIGOO 5 L (ISI 6);PASIR MIGOO 5 L (ISI 6);;;;;6;PCS;22.000;0;132.000;
2;TARO CAT LITTER 5 LT;TARO CAT LITTER 5 LT (ISI 6);;;;;6;PCS;25.000;0;150.000;
3;CAT CHOIZE TUNA 20KG;CAT CHOIZE TUNA 20KG;;;;;1;SAK;419.000;0;419.000;
4;CAT CHOIZE KITTEN TUNA 20KG;CAT CHOIZE KITTEN TUNA 20KG;;;;;1;SAK;471.000;0;471.000;
5;CAT CHOIZE SALMON 20KG;CAT CHOIZE SALMON 20KG;;;;;1;SAK;419.000;0;419.000;
6;CHESTER 20 KG FP - TUNA;CHESTER 20 KG FP - TUNA;;;;;1;SAK;379.000;0;379.000;
7;LIFE CAT 20 KG;LIFE CAT 20 KG;;;;;1;SAK;517.500;0;517.500;
;;;;;; ;;;;;;
;;;;;;;17;;;;2.487.500;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;2.487.500;;
 ;;;;;;;;;;;;
JL-0011319-26;;01/07/2026;;;PL6883;LABU PETSHOP;;;JL. KAYU MANIS RT 009/005 KEL. BALEKAMBANG, KEC. KRAMATJATI JAKARTA TIMUR DKI JAKARTA;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;CAT CHOIZE TUNA 20KG;CAT CHOIZE TUNA 20KG;;;;;1;SAK;419.000;0;419.000;
2;CAT CHOIZE SALMON 20KG;CAT CHOIZE SALMON 20KG;;;;;2;SAK;419.000;0;838.000;
3;CAT CHOIZE MOTHER & KITTEN 20KG;CAT CHOIZE MOTHER & KITTEN 20KG;;;;;2;SAK;472.000;0;944.000;
4;MISTER PUSS TUNA 20KG;MISTER PUSS TUNA 20KG;;;;;1;SAK;383.000;0;383.000;
5;MPKM10K;MISTER PUSS KITTEN MAMA 10KG;;;;;2;SAK;221.000;0;442.000;
6;MAXI CAT CHICKEN & TUNA 20KG;MAXI CAT FOOD CHICKEN TUNA 20KG;;;;;2;SAK;541.000;0;1.082.000;
7;BEAUTY CAT 20KG - CHICKEN & SALMON;BEAUTY CAT 20KG - CHICKEN & SALMON;;;;;1;SAK;523.000;0;523.000;
8;BOLT CAT TUNA 20KG IKAN FRESHPACK;BOLT CAT TUNA 20KG IKAN FRESHPACK;;;;;1;SAK;415.000;0;415.000;
9;LEZATO TUNA 20KG;LEZATO TUNA 20KG;;;;;2;SAK;398.000;0;796.000;
;;;;;; ;;;;;;
;;;;;;;14;;;;5.842.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;5.842.000;;
 ;;;;;;;;;;;;
JL-0011320-26;;01/07/2026;;;PL7600;FIKRI MAULANA;;;JL. KH. SYAHDAN GG. U II NO. 59 RT 007/012 PAL MERAH JAKARTA BARAT DKI JAKARTA;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;TOP CAT LITTER 25 L;TOP CAT LITTER 25 L;;;;;5;PCS;105.000;0;525.000;
2;TARO CAT LITTER 25 L;TARO CAT LITTER 25 L;;;;;5;PCS;92.000;0;460.000;
3;TOP CAT LITTER 10 L;TOP CAT LITTER 10 L (ISI 3);;;;;6;PCS;49.000;0;294.000;
4;TARO CAT LITTER 5 LT;TARO CAT LITTER 5 LT (ISI 6);;;;;12;PCS;25.000;0;300.000;
5;TARO CAT LITTER 10 L;TARO CAT LITTER 10 L (ISI 3);;;;;6;PCS;45.500;0;273.000;
6;CAT CHOIZE SALMON 20KG;CAT CHOIZE SALMON 20KG;;;;;3;SAK;419.000;0;1.257.000;
7;CAT CHOIZE MOTHER & KITTEN 20KG;CAT CHOIZE MOTHER & KITTEN 20KG;;;;;1;SAK;472.000;0;472.000;
8;MARKOTOPS CAT LITTER 5.5 L;PASIR MARKOTOPS 5.5 L (ISI 5);;;;;5;PCS;30.000;0;150.000;
9;TOP CAT LITTER 5 L;TOP CAT LITTER 5 L (ISI 6);;;;;6;PCS;27.500;0;165.000;
;;;;;; ;;;;;;
;;;;;;;49;;;;3.896.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;3.896.000;;
 ;;;;;;;;;;;;
JL-0011321-26;;01/07/2026;;;PL5384;MIAW PETSHOP 3 - KRAMATJATI;;;JL. NUSA I RT 002/003 KEL. KRAMATJATI, KEC. KRAMATJATI  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;LIFE CAT 20 KG;LIFE CAT 20 KG;;;;;2;SAK;517.500;0;1.035.000;
2;EXCEL CAT 20 KG M&K;EXCEL CAT 20 KG MOTHER & KITTEN;;;;;1;SAK;470.000;0;470.000;
